index,question,answer,subject
45,מתי מקבלים את תוצאות הבדיקה?,"רופא ריאות (פולמונולוג) במכון יכתוב דו""ח ובו פענוח של תוצאות הבדיקה, יחתום עליו ויעביר אותו בתוך כמה ימים לרופא המטפל. במקרים דחופים הוא יעביר את הדו""ח עוד באותו היום.סימני אזהרה לאחר הבדיקה שמחייבים התייחסות רפואיתבדיקת תפקודי ריאות היא בטוחה מאוד וברוב המקרים אינה כרוכה בסיכונים.עם זאת, נשיפה חזקה של אוויר מגדילה לזמן קצר את הלחץ בבית החזה, בבטן ובעיניים. אם לאחר הבדיקה מופיעים הפרעה בראייה, החמרה ניכרת בקוצר הנשימה או כאבים חזקים בחזה, בבטן או בעיניים יש לפנות לרופא.לפעמים שמים מצבט על האף כדי למנוע בריחת אוויר דרך הנחירייםפענוח תוצאותיה של בדיקת תפקודי ריאותהמדדים העיקריים שמתקבלים מבדיקת תפקודי ריאות כוללים:• Forced Expiratory Volume) FEV-1) - נפח האוויר המרבי שהנבדק מצליח לנשוף במהלך שנייה אחת. הערך הזה מושפע מרוחב דרכי הנשימה. ערך נמוך מהצפוי אופייני למחלות ריאה חסימתיות שבהן יש חסימה חלקית (או היצרות) של דרכי האוויר בריאות כמו אסתמה או COPD.• Forced vital capacity) FVC) - נפח האוויר המרבי שהנבדק מצליח לנשוף לאחר נשימה עמוקה. הערך הזה מייצג את היכולת של הריאות להכיל נפח תקין של אוויר. הערך הזה הוא נמוך מהצפוי כשסובלים מבעיות ריאה מגבלתיות (רסטקטיביות), כמו במחלות של רקמת הריאה או במחלות שפוגעות ביכולת הריאות להתרחב.• FEV-1/FVC - היחס הזה לרוב נמוך במחלות ריאה חסימתיות ועשוי להיות תקין במחלות ריאה מגבלתיות.הערכים התקינים מחושבים ביחס לגיל, למין ולגובה הנבדק. ניתן להציג את תוצאות הבדיקה בתרשים המראה את נפח האוויר ואת זרימת האו",בדיקת תפקודי ריאות (ספירומטריה)
46,"מהי משמעות התוצאות, ומה צפוי לי בהמשך?","בדיקה תקינה מעידה שאין פגיעה בתפקוד הריאות בזמן הבדיקה, אך היא אינה שוללת לחלוטין את קיומה של מחלת ריאות.כאשר הרופא חושד בקיום מחלת ריאות למרות תוצאות תקינות, ייתכן שהוא יפנה את המטופל לבדיקות נוספות שבוחנות את תפקוד הריאה לאחר מאמץ או לאחר מתן מטכולין - חומר שעשוי לגרום לכיווץ דרכי הנשימה בחולי אסתמה.הפרעה חסימתית (אובסטרוקטיבית) - אופיינית לאסתמה ול־COPD. ייתכן שהנבדק יתבקש לחזור על בדיקת תפקודי הריאות לאחר שאיפת תרופה המרחיבה את דרכי הנשימה. אם לאחר הטיפול יהיה שיפור בתוצאות הבדיקה, יקבע הרופא שהבעיה היא ""הפרעה חסימתית הפיכה"". בהתאם לחומרת ההפרעה ייקבעו הטיפול התרופתי והמשך המעקב.הפרעה רסטרקטיבית (מגבלתית) - אופיינית למחלות שפוגעות ביכולת ההתרחבות של הריאות. מדובר במחלות שעלולות להיגרם מבעיה במרכיב אחד או בכמה מרכיבים של בית החזה: רקמת הריאות, רקמות חיבור, עצבים או שרירים.לעיתים יומלץ על ביצוע בדיקות נוספות כמו בדיקת פלתיסמוגרפיה לבדיקת נפח הריאות או בדיקות המודדות את שחלוף הגזים (אלה בוחנות אם יש בעיה בהעברת החמצן מהריאות אל מחזור הדם). נוסף על כך ייתכן שהרופא יבקש לערוך בדיקות הדמיה, למשל צילו",בדיקת תפקודי ריאות (ספירומטריה)
47,מהי בדיקת ריאות במאמץ?,"בדיקת תפקודי ריאות במאמץ כשמה כן היא. מטרת הבדיקה הזאת היא לבדוק את קיומה של מחלת ריאות חסימתית הפיכה (כמו אסתמה) הקשורה במאמץ. היא לרוב מיועדת לאוכלוסייה צעירה ופעילה גופנית.בשלב הראשון המטופל מתבקש לעבור בדיקת תפקודי ריאה במנוחה (כפי שמתואר למעלה). לאחר מכן הוא עושה פעילות גופנית אירובית, שכוללת ריצה מאומצת על מסוע (treadmill) או רכיבה על אופני כושר נייחים. המאמץ נעשה על פי פרוטוקול מובנה ובהשגחה רפואית מלאה.בתום הפעילות המאומצת, ובמרווחי זמן מוגדרים מראש (5 דקות, 10 דקות, 15 דקות, 20 דקות ו־30 דקות לאחר המאמץ), הנבדק עובר שוב את בדי",בדיקת תפקודי ריאות (ספירומטריה)
48,מהן תופעות הלוואי של מטכולין?,"כאמור, במקרים שבהם הרופא חושד שישנה מחלת ריאות חרף תוצאות תקינות בבדיקת תפקודי הריאות הפשוטה במנוחה, ייתכן שהוא ימליץ לבחון את תפקוד הריאות לאחר מתן מטכולין. מטכולין הוא נגזרת של חומר טבעי הנמצא בגוף האדם. חשיפת דרכי האוויר אליו גורמת לכיווצם.מתן ריכוזים נמוכים של החומר בשאיפה לנבדקים ללא מחלות ריאה אינו גורם לשינוי בהרגשתם ואף אינו משפיע על תפקודי הריאות שלהם. מנגד, בקרב נבדקים שסובלים - על פי החשד - ממחלת ריאה חסימתית הפיכה (כמו אסתמה) יכול מתן המטכולין להצביע על הנטייה הזאת ולאפשר לרופא הריאות לאשש את האבחנה.מתן מטכולין בשאיפה עלול להיות מלוּוה בתופעות לוואי כמו שיעול, קוצר נשימה ותחושה של לחץ או של כבדות בחזה. הבדיקה הזאת נעשית רק בהנחיית רופא ריאות ובהשגחה רפואית צמודה שכוללת את האפשרות לתת טיפול מיידי להקלה על התסמי",בדיקת תפקודי ריאות (ספירומטריה)
49,מהי בדיקת פלתיסמוגרפיה?,"בדיקת פלתיסמוגרפיה היא בדיקת תפקודי ריאות מורחבת. בבדיקה הזאת מודדים את נפח הריאות במצבים ספציפיים שאינם נבדקים בבדיקה פשוטה של תפקודי הריאות.גם פלתיסמוגרפיה היא בדיקה לא פולשנית, שאינה כרוכה בכאב או בסבל כלשהו. במהלך הבדיקה, שנמשכת כחצי שעה, הנבדק יושב או עומד בתוך תא שקוף ואטום. הטכנאי מנחה אותו לשאוף ולנשוף דרך פיית פלסטיק.תוצאות הבדיקה מאפשרות לרופא הריאות להעריך באופן מדויק יותר את מידת הפגיעה בריאות ואת אופי הפגיעה. נוסף על כך, הבדיקה מאפשרת למדוד באופן מדויק את נפח האוויר הכלוא שנותר בריאות בתום נשיפה מאומצת - מדד שיכול",בדיקת תפקודי ריאות (ספירומטריה)
50,איך אפשר לשפר את תפקודי הריאות?,תפקודי הריאות עשויים להשתפר במקביל לשיפור במחלת הריאות הבסיסית שממנה סובל המטופל. התערבויות טיפוליות עיקריות שישפרו את תפקודי הריאות כוללות בראש ובראשונה הפסקת עישון ושימוש נכון וסדיר במשאפים כפי שממליץ הרופא.לעיתים תפקודי הריאות נפגעים בגלל מחלה חריפה (למשל דלקת ריאות או קורונה) שפוגעת בריאות. במקרים האלה תוביל התאוששות הדרגתית במשך כמה שבועות - או אף כמה חודשים - לשיפור בתפקודי הריאות.במצבים של מחלת ריאות רסטרקטיבית (מגבלתית) שהתפתחה באופן משני לחולשה של שרירי הנשימה או להשמנת יתר קיצונית עשויים תפקודי הריאות להשתפר לאחר התחזקות השרירים או לאחר ירידה משמ,בדיקת תפקודי ריאות (ספירומטריה)
51,מהי בדיקת אקו לב במאמץ?,"אקו לב במאמץ הוא בדיקה שבמהלכה נבדק תפקוד הלב בעזרת מכשיר אולטרסאונד, הן במנוחה (בדיקת אקו לב רגילה) והן לאחר מאמץ גופני. ההשוואה בין הממצאים מאפשרת לאבחן מחלת לב - אם יש כזו - ולהעריך את חומרתה.ההשוואה מאפשרת לאבחן מחלת לב איסכמית - מחלה שבה נגרמות היצרויות בכלי הדם שמזינים את שריר הלב. כמו כן מאפשרת ההשוואה לגלות עלייה חריגה בלחץ הדם בתוך כלי הדם בריאות ולהעריך באופן מדויק יותר בעיות במסתמי הלב (מחלת לב מסתמית).בדיקת אקו לב במאמץ נעשית בדרך כלל על הליכון חשמלי ולאחר בדיקת אקו לב במנוחה. במקרים שבהם הנבדק אינו יכול לעשות את המאמץ שנדרש ממנו (להגיע לדופק מטרה) הוא מקבל תרופה שמשפיעה על הלב",אקו לב במאמץ
52,מתי צריך לעשות את הבדיקה?,• לבירור כאבים כרוניים או חריפים באשכים.• כאשר נימוש גוש באחד האשכים או בשניהם.• במסגרת בירור בעיות פוריות אצל הגבר.• במצב של אשך טמיר.• לאחר חבלה בשק האשכים.• לבירור של נפ,אולטרסאונד אשכים
53,איך מפרשים את תוצאות הבדיקה שקיבלתי?,"משמעותן של תוצאות תקינות היא שאין סימנים לפגיעה בעורקים הכליליים המספקים דם לשריר הלב. עם זאת, בדיקה תקינה אינה שוללת לחלוטין קיום מחלת לב. כך, למשל, ב־15%-10% מהמקרים לא תגלה הבדיקה חסימות בעורקי הלב, וכדי לגלותן יש צורך בבדיקות אחרות.המשמעות של תוצאות הבדיקה תלויה בסיבות לביצוע הבדיקה וכן בתסמינים ובמחלות הרקע של הנבדק.תוצאות לא תקינות עשויות להעיד על התופעות הבאות:• פגיעה בהספקת הדם לשריר הלב עקב היצרות או חסימה בעורקים הכליליים.• צלקת בשריר הלב עקב אוטם (התקף לב) שהתרחש בעבר.• ירידה בתפ",מיפוי לב
54,מהי בדיקת אולטרסאונד וגינלי?,"בדיקת אולטרסאונד וגינלי (באנגלית: Transvaginal Ultrasound) משמשת לסקירת איברי האגן כולל צוואר הרחם והרחם, החצוצרות והשחלות. בעזרת אולטרסאונד דופלר ניתן גם לבחון את כלי הדם שמובילים דם אל האיברים האלה ומהם.מכשיר האולטרסאונד יוצר תמונות של איברי האגן באמצעות שימוש בגלי קול בתדירויות שגבוהות מסף הש",אולטרסאונד וגינלי
